# Ten-channel resonant ladder, W/L = 1000, L = 1 um, VDD = 5 V
# SMALL-SIGNAL run: drive 0.03 V RMS, chosen to keep the cross-coupled pairs
# linear.  At 1 V RMS the pairs intermodulate and, because the channel ladder
# is arithmetic, every sum of two channels lands on another channel.
# Excitation: white noise, new value every 0.5 ns (flat well past 200 MHz)
# Uniform sampling 500 ps (ngspice 'linearize'), 190 us total
# vin  = v(n05) - v(actm)   vout = v(actp) - v(actm)
#
# time[s]            vin[V]               vout[V]
1.410000000e-07 -3.054896080e-02 -3.520470800e-03
1.415000000e-07 -3.063632110e-02 -1.115243610e-02
1.420000000e-07 -4.661550710e-02 -1.900845510e-02
1.425000000e-07 2.691928200e-02 -1.575466480e-02
1.430000000e-07 1.180520640e-02 -5.791550570e-03
1.435000000e-07 5.045853180e-02 5.018263530e-03
1.440000000e-07 -1.876101770e-03 1.010671330e-02
1.445000000e-07 1.370018280e-02 8.935201830e-03
1.450000000e-07 4.699860920e-03 8.831289470e-03
1.455000000e-07 5.169099760e-03 7.607568690e-03
1.460000000e-07 2.152245810e-02 9.249409950e-03
1.465000000e-07 5.549791010e-02 1.776260000e-02
1.470000000e-07 3.727522740e-02 2.574564020e-02
1.475000000e-07 -2.392921220e-02 1.981936800e-02
1.480000000e-07 2.343501040e-03 1.129051170e-02
1.485000000e-07 1.414538360e-02 1.053705640e-02
1.490000000e-07 2.106783520e-02 1.265248710e-02
1.495000000e-07 -5.744555080e-02 3.337449640e-03
1.500000000e-07 -5.853924120e-03 -6.187405340e-03
1.505000000e-07 -1.561097490e-02 -7.514285910e-03
1.510000000e-07 1.211090770e-02 -5.648818190e-03
1.515000000e-07 1.923043280e-02 4.925309970e-04
1.520000000e-07 -3.394013330e-02 -2.140408160e-03
1.525000000e-07 -1.803808080e-03 -6.435667970e-03
1.530000000e-07 2.683733020e-02 -8.362893910e-04
1.535000000e-07 -3.170226270e-02 -1.731721820e-03
1.540000000e-07 -2.400237070e-02 -9.131996870e-03
1.545000000e-07 -1.313039650e-03 -9.966003070e-03
1.550000000e-07 -2.656889740e-02 -1.124493380e-02
1.555000000e-07 3.221033010e-02 -6.746325190e-03
1.560000000e-07 4.388657430e-03 2.185148590e-04
1.565000000e-07 -9.747639420e-03 -6.955115770e-04
1.570000000e-07 4.555625420e-02 4.981106840e-03
1.575000000e-07 1.341266610e-02 1.169433700e-02
1.580000000e-07 -5.071413020e-02 2.534162820e-03
1.585000000e-07 1.050091290e-02 -3.505280740e-03
1.590000000e-07 -4.991715130e-02 -8.539969940e-03
1.595000000e-07 -3.648852170e-02 -1.828422240e-02
1.600000000e-07 -2.072810740e-02 -2.105383360e-02
1.605000000e-07 6.200786240e-04 -1.771950460e-02
1.610000000e-07 -6.325794430e-02 -2.203646120e-02
1.615000000e-07 3.812221180e-02 -1.863980970e-02
1.620000000e-07 -1.911351720e-02 -1.108105560e-02
1.625000000e-07 6.455612940e-03 -9.585707440e-03
1.630000000e-07 2.537913370e-02 -2.252416830e-03
1.635000000e-07 1.208184550e-02 3.569801450e-03
1.640000000e-07 1.145780710e-02 5.859377930e-03
1.645000000e-07 4.487522410e-03 6.395926400e-03
1.650000000e-07 5.302111900e-02 1.316928550e-02
1.655000000e-07 -6.397029750e-02 7.068641150e-03
1.660000000e-07 -1.954806720e-02 -6.514554080e-03
1.665000000e-07 1.492746220e-02 -5.072079440e-03
1.670000000e-07 7.807835270e-03 -4.252262960e-04
1.675000000e-07 3.229799250e-02 5.587139750e-03
1.680000000e-07 -6.485030870e-03 7.362197150e-03
1.685000000e-07 -6.951180380e-03 3.302131490e-03
1.690000000e-07 1.397185630e-02 3.478397010e-03
1.695000000e-07 -1.748440600e-03 4.106091930e-03
1.700000000e-07 4.063032930e-02 8.823899780e-03
1.705000000e-07 4.317461790e-02 1.830213150e-02
1.710000000e-07 -2.922972680e-02 1.456758400e-02
1.715000000e-07 -3.478828450e-02 1.258526680e-03
1.720000000e-07 7.760996300e-03 -2.681286410e-03
1.725000000e-07 -8.492796620e-03 -2.137900270e-03
1.730000000e-07 7.562590090e-03 -1.537218860e-03
1.735000000e-07 -4.464473660e-03 -7.303696330e-04
1.740000000e-07 -3.900387520e-02 -6.926841170e-03
1.745000000e-07 5.312246150e-03 -9.411968010e-03
1.750000000e-07 -3.207369590e-02 -1.075244430e-02
1.755000000e-07 -5.789312750e-02 -2.065047000e-02
1.760000000e-07 2.926337060e-02 -1.815235250e-02
1.765000000e-07 5.717038120e-03 -8.142682060e-03
1.770000000e-07 2.462401460e-02 -1.388216860e-03
1.775000000e-07 -3.423034720e-02 -2.901742280e-03
1.780000000e-07 -2.221947940e-02 -1.014019030e-02
1.785000000e-07 3.949963120e-02 -4.438480190e-03
1.790000000e-07 2.831569490e-02 6.337567400e-03
1.795000000e-07 3.036149730e-02 1.287399940e-02
1.800000000e-07 -1.602555410e-04 1.330193190e-02
1.805000000e-07 -4.677451530e-03 8.830302010e-03
1.810000000e-07 6.365849170e-02 1.528386210e-02
1.815000000e-07 -3.764538400e-02 1.394156750e-02
1.820000000e-07 -1.131257790e-03 4.722042450e-03
1.825000000e-07 4.011772380e-02 9.242988870e-03
1.830000000e-07 -3.856238850e-02 6.169312350e-03
1.835000000e-07 1.821873300e-02 1.875372660e-03
1.840000000e-07 -2.919985030e-02 -5.828738980e-04
1.845000000e-07 -3.270445400e-02 -9.300796480e-03
1.850000000e-07 -4.005531070e-02 -1.707628120e-02
