topology,d_in_mm,d_out_mm,n,layers,awg,d_wire_mm,l_h,length_m,m_h,k,fom,eta_max,emf_per_sqrtw,r_dc,r_ac,r_skin,r_prox,prox_layers,skin_um,skin_limited,r_ratio,q,l_uh
solenoid,1,27.10914564706907,5,4,8,3.2636432058836338,1.1839058434137302e-06,0.6780141042443316,4.885032098459112e-09,0.00446099527632849,1.0779947704185693e-06,2.6949854734564963e-07,0.012792194857218038,0.0013616101519871029,0.4392772357614557,0.012392500812852156,0.4268847349486036,4,92.25496965451984,True,322.6160109928561,8.466976199582424,1.1839058434137302
pancake,1,53.21829129413814,8,1,8,3.2636432058836338,1.832876421248869e-06,0.6813271424794233,4.542786623808853e-09,0.0033341003712506947,2.2573391971364874e-07,5.643347355893777e-08,0.008507464526777982,0.0013682635039846253,1.8141298201848932,0.012453055348169888,1.8016767648367233,8,92.25496965451984,True,1325.8629020666167,3.1740568044609603,1.832876421248869
solenoid,1,7.5272864117672675,8,1,8,3.2636432058836338,1.8621659479546784e-09,0.025132741228718346,4.1325298282347926e-10,0.009515458736403394,7.3772145617875366e-06,1.8442968375664142e-06,0.0012979744456258725,5.047239488097096e-05,0.00045936731132344854,0.00045936731132344854,0.0,1,92.25496965451984,True,9.101357532306011,12.73527026771891,0.0018621659479546783
solenoid,1,14.054572823534533,8,2,8,3.2636432058836338,1.1705491378619354e-07,0.21431408277011293,1.7415358419016748e-09,0.005057786768374845,1.9474674086449257e-06,4.86866378083145e-07,0.005388565553451168,0.0004303925670378555,0.030904031933232486,0.003917156631858507,0.02698687530137398,2,92.25496965451984,True,71.80428822441604,11.899381220281688,0.11705491378619354
solenoid,1,27.10914564706907,8,4,8,3.2636432058836338,2.3596039403975737e-06,1.0848225667909306,5.455719377498589e-09,0.0035290303311300763,8.403609730790675e-07,2.1009015499399263e-07,0.013134529448519738,0.002178576243179365,0.7028435772183294,0.01982800130056345,0.6830155759177658,4,92.25496965451984,True,322.61601099285616,10.547033002525138,2.3596039403975735
solenoid,1,40.163718470603605,8,6,8,3.2636432058836338,1.1270878882907328e-05,2.6115254520624536,9.471972874466768e-09,0.0028033961846593573,4.583408131719723e-07,1.1458517703346296e-07,0.013464465302821416,0.005244551028424529,3.8843009298823876,0.047732534006114845,3.836568395876273,6,92.25496965451984,True,740.6355489402563,9.115799969472016,11.270878882907327
solenoid,1,53.21829129413814,8,8,8,3.2636432058836338,3.230865912284139e-05,4.794422738584681,1.3360485846282227e-08,0.0023355313857700206,2.774699876967816e-07,6.93674873004978e-08,0.011312821929443207,0.009628316922773349,12.76582821724539,0.08763075474851267,12.678197462496877,8,92.25496965451984,True,1325.8629020666167,7.9509644357064015,32.30865912284139
pancake,1,79.32743694120721,12,1,8,3.2636432058836338,6.060233493333756e-06,1.5141365146571637,5.796032747910337e-09,0.0023394247253612777,7.312737677755755e-08,1.8281843525937763e-08,0.005725023291897198,0.0030407385878046785,9.115955046424425,0.027674849049889663,9.088280197374536,12,92.25496965451984,True,2997.941053856217,2.088512385673048,6.060233493333755
solenoid,1,7.5272864117672675,12,1,8,3.2636432058836338,2.9214876319820964e-09,0.03769911184307752,4.251540076268378e-10,0.007815687293638357,5.205491196144899e-06,1.3013694119049203e-06,0.0013352007755273979,7.570859232145644e-05,0.0006890509669851728,0.0006890509669851728,0.0,1,92.25496965451984,True,9.101357532306013,13.319949498577355,0.0029214876319820964
solenoid,1,14.054572823534533,12,2,8,3.2636432058836338,1.9150041917664716e-07,0.32147112415516943,1.8108286884452071e-09,0.00411164324825084,1.4036823464794328e-06,3.509203403295581e-07,0.005561443052636696,0.0006455888505567833,0.04635604789984873,0.005875734947787761,0.04048031295206097,2,92.25496965451984,True,71.80428822441604,12.978162231269156,0.19150041917664715
solenoid,1,27.10914564706907,12,4,8,3.2636432058836338,4.098819697564131e-06,1.6272338501863959,5.78869990549471e-09,0.002841021707797457,6.307142455736542e-07,1.5767851166837572e-07,0.012688276564029845,0.0032678643647690475,1.054265365827494,0.029742001950845177,1.0245233638766489,4,92.25496965451984,True,322.61601099285616,12.214023402115254,4.098819697564131
